GeneName,sampleA,sampleB,sampleC,sampleD,sampleE,sampleF,sampleG,sampleH
Cenpo,11.0114839963,10.8352927935,11.3132347882,11.3816591652,11.3073008076,11.3792480712,11.3351837741,11.8730630738
LOC102642717,6.2983244932,6.5690010922,6.3222024541,6.7694610095,6.5683631972,6.3719292152,6.39429752,6.5536958282
Lsm2,13.7181769869,13.6219728656,14.4439452936,13.6449960487,13.567923205,14.2910900835,14.0186048714,14.0076347092
Anapc15,10.4127047259,10.0169118672,10.9929598101,10.4451537248,10.2073879497,10.884875013,10.7546085788,11.0728865104
Fzd2,6.1327477993,6.0117842336,6.1769854903,6.0051622101,6.2148867351,6.0869220757,6.1424898332,6.0739959753
Abhd13,9.7011467426,9.7682713702,10.2272978969,10.1517784833,9.9321681849,10.2935363002,9.9145189238,9.7916344035
Rnf170,10.9152930578,11.9237938711,10.8033975662,11.6550907183,11.6456460434,11.0579386789,10.925248727,11.0993125866
4930481A15Rik,9.4820435077,9.1328581718,10.1052922198,9.4037734743,9.4844018282,10.0733243552,9.7875767077,9.7543693628
Gm17727,6.2061278579,6.1819203685,6.1861792903,6.2491562697,6.2633525852,6.1424307045,6.1901407715,6.2873296336
Vmn1r77,6.2866171279,6.3862490971,6.3344336494,6.2730318326,6.3658112618,6.4058232873,6.2967752783,6.3945048849
Car10,6.0117216678,6.0332261624,6.0932737895,6.0889590235,6.1853322494,6.0338577463,6.1127687638,6.1681314049
Zp2,6.1644006286,6.013170455,6.0075916208,6.0325907838,5.9341319162,5.9725641315,5.8921877518,5.940410915
Tor4a,10.7411781674,11.3026062926,11.4088840989,10.9549172296,11.2731711106,11.1795282134,11.0196249756,11.6474929807
Cblc,6.3695761077,6.3619000282,6.3073823643,6.9606478877,6.4040237817,6.4122437574,6.2880514107,6.3233096344
Dreh,6.2366439863,6.3026995261,6.2242036049,6.1949546712,6.1948044753,6.0755584084,6.4132547252,6.5139002351
Irs3,7.0512196083,6.7332589625,6.7113190968,6.768656706,6.8711304527,6.7978731585,6.7974353972,6.9398499285
Phf11a,7.3771145942,8.6806022654,8.3512616175,9.3527878024,9.9534972937,8.9906781259,7.6444259374,11.1253242331
Hnrnpul1,11.7309572222,11.1066418839,11.2942904913,11.5461433199,11.4150070701,11.3880478812,11.4984901542,11.8641901689
9430007A20Rik,6.1906586077,6.2100169559,6.1863695962,6.1097359479,6.0189834812,6.1538842897,6.1416802601,6.1230144996
Btnl5-ps,6.2439330495,6.2005189955,6.4018466163,6.2275912732,6.3110146337,6.2434746894,6.2213771322,6.2152689332
Hsd3b4,6.2473947229,6.261646431,6.2792111618,6.1161295835,6.099238766,6.1089128703,6.0394716027,6.1807462756
Hnf4g,6.7864032864,6.6251708555,6.5314020737,6.5142817268,6.4258913194,6.4104219327,6.7106958521,6.6823233489
AK036053,7.0047933814,6.7914013782,6.6911951262,6.8424040921,6.7672306194,6.8034151326,6.7035106308,6.6267083508
Skida1,6.0818162984,5.8560091799,6.314418533,6.7164178572,6.0267682387,6.4564049802,6.248162358,5.9847399404
Gm2984,6.2071593032,6.2948454856,6.2764073979,6.2030035781,6.2483207446,6.1676540788,6.4175367706,6.5318522109
Aen,10.8253880485,11.7834146102,11.1926447753,11.5984254867,11.791147955,11.1656326701,11.141260524,11.4371281166
D430022A14Rik,6.4522269881,6.4125596285,6.4584796988,6.6383204335,6.6447787466,6.368320323,6.4573961275,6.5741460211
Apoa1,5.9741672117,6.1504089953,6.2418254062,6.1640838229,6.2277730615,6.3568518701,6.1614245514,6.391449004
