ln.TP,SDI,ln.Chla,ln.SecDep,ln.zmix,ln.Stab,ln.Cond
1.386294361,1.2,0.336472237,2.261763098,2.48490665,-1.01818504,3.686376324
3.044522438,0.9,0.336472237,2.116255515,1.791759469,3.407162886,3.826465117
2.197224577,0.9,0.336472237,2.116255515,2.564949357,-0.674678776,3.713572067
2.944438979,0.9,1.871802177,1.252762968,0,3.890770768,6.003887067
3.583518938,0.6,1.686398954,1.410986974,1.609437912,4.757072912,6.22436039
3.33220451,0.7,1.568615918,1.029619417,1.098612289,2.505321835,6.080390756
3.091042453,0.5,1.960094784,0.993251773,2.197224577,-1.819048449,5.829827582
3.091042453,0.9,1.960094784,0.993251773,2.197224577,-1.819048449,5.829827582
3.091042453,0.5,1.840549633,1.098612289,2.197224577,0.735392162,5.944110851
3.36729583,1,4.158883083,1.098612289,2.197224577,0.735392162,5.944110851
3.912023005,1.3,2.128231706,1.064710737,1.386294361,4.353771183,6.124902185
3.871201011,0.7,1.223775432,1.62924054,0,3.53358437,5.983432375
3.496507561,0.5,2.617395833,0.09531018,0.693147181,4.114702591,6.144829204
3.091042453,0.9,1.504077397,0.875468737,2.302585093,0.454953441,5.812038793
3.784189634,0.8,1.871802177,1.435084525,2.197224577,1.506696187,5.963065073
4.304065093,0.8,2.949688335,1.223775432,0.693147181,3.713215906,6.097175002
2.302585093,1.3,2.653241965,1.435084525,2.197224577,6.460607337,0.587786665
3.663561646,0.7,4.753590191,1.410986974,3.33220451,4.751851612,2.4765384
2.890371758,1.2,2.433613355,1.410986974,3.33220451,4.751851612,2.4765384
2.197224577,2,1.791759469,1.589235205,0.693147181,7.420432667,0.336472237
2.397895273,1.3,1.686398954,2.054123734,2.890371758,7.179299204,0
3.36729583,0.9,2.197224577,1.62924054,4.553876892,2.794496974,1.686398954
3.80666249,1.4,1.740466175,1.791759469,1.386294361,6.305384745,0.530628251
2.708050201,1.2,2.163323026,1.648658626,0.693147181,7.761341029,0
4.369447852,1.2,1.410986974,1.987874348,3.091042453,6.965933711,0.09531018
3.583518938,0.6,2.2300144,1.686398954,4.553876892,2.296094072,1.252762968
2.63905733,1.7,1.131402111,2.00148,3.36729583,5.435727415,1.686398954
2.995732274,1.6,1.504077397,1.481604541,1.098612289,7.493190905,0.09531018
1.386294361,1.7,0,2.587764035,1.098612289,6.806222871,4.734442522
1.386294361,1.2,-0.223143551,2.821378886,3.135494216,7.689507437,4.777441407
1.945910149,0.9,0.875468737,2.424802726,4.418840608,2.187645511,4.692264893
1.945910149,0.9,0.875468737,2.424802726,4.418840608,2.187645511,4.692264893
1.386294361,1.6,-0.105360516,2.48490665,2.48490665,6.114652947,4.697749367
1.386294361,1.1,0.182321557,2.48490665,2.48490665,6.114652947,4.697749367
1.386294361,1.1,-0.356674944,2.624668592,1.609437912,8.216490612,4.751000634
1.609437912,1.9,0.530628251,2.57261223,4.418840608,0.420025259,4.694096395
1.609437912,1.3,-0.105360516,2.660259537,1.386294361,8.439102863,4.759606539
1.386294361,1.8,-0.356674944,2.370243741,2.944438979,6.933579251,4.701389044
2.397895273,1.4,-0.916290732,2.302585093,1.609437912,8.286577241,4.757891273
4.317488114,0.9,1.504077397,1.193922468,1.098612289,6.959744131,7.043771083
2.079441542,0.9,0.993251773,1.435084525,1.791759469,8.45220546,7.081204257
